EntrezGeneID	CT22	CT23	CT24	CT48	CT50	CTH26	CTH28	CTH46	CTH47	CTH49
1608	8.58	8.31	8.73	8.37	8.57	8.86	7.82	7.96	7.71	7.72
11287	5.21	5.39	5.15	5.16	5.51	5.19	5.14	5.06	4.81	5.2
11298	6.02	5.87	5.59	5.64	5.63	5.58	5.59	5.62	5.68	5.75
11302	6.72	6.73	6.53	6.64	6.63	6.62	6.49	6.53	6.39	6.41
11303	8.46	8.58	8.7	8.89	8.89	8.63	9.16	9.94	9.1	8.57
11305	7.46	7.57	7.61	7.72	7.5	7.45	7.57	7.47	7.69	7.28
11306	8.06	8.05	8.21	8.11	8.19	8.4	8.47	8.43	8.32	8.23
11307	8.13	8.33	8.58	8.88	8.47	7.97	8.51	8.86	8.6	8.72
11308	9.79	9.8	9.7	9.68	9.75	10.11	9.97	9.85	9.79	9.91
11350	7.11	7.07	7.11	7.17	7.2	7.05	7.08	7.15	7.07	7.07
11352	7.29	7.55	7.51	7.42	7.39	7.7	7.73	7.77	7.7	8.12
11354	5.1	4.94	4.47	4.74	4.44	4.65	4.77	4.77	4.29	5.11
11363	9.52	9.64	9.74	9.65	9.69	9.88	9.94	9.75	9.78	10.02
11364	9.37	9.32	9.44	9.4	9.32	9.38	9.05	9.03	9.12	8.86
11370	7.63	7.79	7.85	7.78	7.79	7.82	7.61	7.7	7.75	7.71
11409	7.14	7.48	7.43	7.57	7.4	7.47	7.53	7.84	7.57	7.47
11416	7.29	7.35	7.54	7.54	7.42	7.62	7.61	7.34	7.65	7.61
11418	5.21	5.39	5.43	5.01	5.22	5.13	5.1	4.98	5.06	4.88
11419	5.06	5.09	5.08	4.91	4.8	5.27	5.13	4.95	5.15	5.29
11421	11.71	11.73	11.8	11.69	11.67	11.6	11.51	11.69	11.38	11.07
11423	6.29	6.12	6.15	6.2	6.2	6.18	6.05	6.22	6.23	6.05
11425	6.66	6.05	5.88	6.04	6.07	6.06	5.88	6.14	5.96	6.01
11426	11.35	11.23	11.27	11.19	11.2	11.24	10.8	10.7	10.59	10.31
11428	8.57	8.33	8.4	8.53	8.35	8.7	8.71	8.53	8.64	8.49
11429	8.88	8.89	9.07	9.09	8.93	8.96	9.22	9.15	9.28	9.11
11430	8.68	8.41	8.66	8.85	8.69	9.06	8.52	8.45	8.62	8.42
11431	7.66	7.91	7.73	7.78	7.79	7.95	8.06	8.14	8.04	8
11432	8.35	8.43	8.7	8.74	8.72	8.71	9.67	9.84	9.54	9.86
11433	6.68	6.46	6.75	6.77	6.75	6.67	8.3	8.57	8.05	8.05
11434	6.81	6.81	6.72	6.49	6.51	7.18	6.89	6.83	6.89	7
11435	5.05	4.71	4.67	4.47	4.76	4.7	4.71	4.85	4.84	4.85
11438	5.71	5.45	5.02	5.1	5.13	5.34	5.23	4.96	5.19	5.37
11440	5.74	5.32	5.3	5.23	5.54	5.34	5.53	5.09	5.46	5.34
11441	7.04	6.9	6.67	7.03	6.76	7.11	7.62	7.54	7.64	7.13
11443	7.49	7.76	7.78	7.86	7.82	7.57	7.38	6.93	7.37	7.45
11444	5.02	4.93	4.65	4.7	4.84	4.79	4.75	4.59	5.03	4.84
11447	5.43	5.36	5.25	5.31	5.25	5.28	4.62	5.33	5.32	5.45
11448	5.82	5.68	5.23	5.57	5.65	5.74	5.47	5.39	5.52	5.55
